scenario,model,MAE,RMSE,MAPE (%),Bias (%)
history,mean28,1053.5,1417.9439218675839,14.376176269407301,2.656635069096913
history,lasso,742.9931619200657,982.7220291857838,9.720186940488587,1.0554508721063658
history,lightgbm,1074.1567959324475,1515.7125865724909,15.284527572705514,7.1244382126587595
history,prophet,985.41399247542,1317.8945906609008,13.52958785459461,3.63912749311593
known_plan,mean28,1053.5,1417.9439218675839,14.376176269407301,2.656635069096913
known_plan,lasso,229.30135073560476,318.8180551277803,2.800108140182549,0.47448616590437465
known_plan,lightgbm,251.84508466710645,338.40478148934017,3.0226780376742606,0.12427025891571054
known_plan,prophet,244.511079378678,326.9071332692345,2.998929916399503,-0.15277042720430936
